8G,260512,154602,1545,029,,AU661,Q,260512,02900,,0133518743AU661 1545,0,
8G,260512,154631,1545,014,,AU335,Q,260512,01400,,0133771864AU335 1545,0,
8G,260512,154646,1545,019,,AU580,Q,260512,01900,,0133926679AU580 1545,0,
8G,260512,161639,1615,019,,AU654,Q,260512,01900,,0133584659AU654 1615,0,
8G,260512,161658,1615,029,,AU411,Q,260512,02900,,0134009166AU411 1615,0,
8G,260512,164338,1645,019,,AU024,Q,260512,01900,,0133549882AU024 1645,0,
8G,260512,164358,1645,029,,AU338,Q,260512,02900,,0133810116AU338 1645,0,
8G,260512,164428,1645,019,,AU324,Q,260512,01900,,0133891582AU324 1645,0,
8G,260512,164448,1645,014,,AT071,Q,260512,01400,,0133421496AT071 1645,0,
8G,260512,171647,1715,014,,AU483,Q,260512,01400,,0133890942AU483 1715,0,
8G,260512,171702,1715,014,,AU225,Q,260512,01400,,0133832147AU225 1715,0,
8G,260512,171717,1715,014,,AU335,Q,260512,01400,,0133771865AU335 1715,0,
8G,260512,171732,1715,019,,AU557,Q,260512,01900,,0133837477AU557 1715,0,
8G,260512,171752,1715,019,,AU722,Q,260512,01900,,0133736062AU722 1715,0,
8G,260512,171812,1715,019,,AU356,Q,260512,01900,,0133840034AU356 1715,0,
8G,260512,171832,1715,019,,AT652,Q,260512,01900,,0133832245AT652 1715,0,
8G,260512,171852,1715,019,,AU580,Q,260512,01900,,0133926680AU580 1715,0,
8G,260512,174042,1745,019,,AU557,Q,260512,01900,,0133836572AU557 1745,0,
8G,260512,174102,1745,029,,AM167,Q,260512,02900,,0133973930AM167 1745,0,
8G,260512,174131,1745,014,,AR803,Q,260512,01400,,0133830575AR803 1745,0,
8G,260512,174146,1745,014,,AP255,Q,260512,01400,,0133420985AP255 1745,0,
8G,260512,174201,1745,029,,AU663,Q,260512,02900,,0133518744AU663 1745,0,
8G,260512,174231,1745,029,,AU411,Q,260512,02900,,0134009168AU411 1745,0,
8G,260512,175903,1802,014,,AH753,Q,260512,01400,,0133464457AH753 1802,0,
8G,260512,175918,1802,029,,AT863,Q,260512,02900,,0133631021AT863 1802,0,
8G,260512,181535,1815,014,,AU484,Q,260512,01400,,0133890943AU484 1815,0,
8G,260512,181550,1815,014,,AT069,Q,260512,01400,,0133956998AT069 1815,0,
8G,260512,181605,1815,014,,AT011,Q,260512,01400,,0133863524AT011 1815,0,
8G,260512,181620,1815,019,,AU722,Q,260512,01900,,0133735997AU722 1815,0,
8G,260512,181640,1815,029,,AU765,Q,260512,02900,,0133867090AU765 1815,0,
8G,260512,181710,1815,019,,AU580,Q,260512,01900,,0133926681AU580 1815,0,
8G,260512,184007,1845,019,,AT550,Q,260512,01900,,0133385934AT550 1845,0,
8G,260512,184027,1845,019,,AU324,Q,260512,01900,,0133891583AU324 1845,0,
8G,260512,184047,1845,029,,AU411,Q,260512,02900,,0134009172AU411 1845,0,
8G,260512,184117,1845,014,,AT071,Q,260512,01400,,0133420931AT071 1845,0,
8G,260512,184132,1845,019,,AU024,Q,260512,01900,,0133549852AU024 1845,0,
8G,260512,184152,1845,019,,AU356,Q,260512,01900,,0133840035AU356 1845,0,
8G,260512,185952,1902,014,,AH754,Q,260512,01400,,0133464451AH754 1902,0,
8G,260512,190007,1902,029,,AT863,Q,260512,02900,,0133631032AT863 1902,0,
8G,260512,191524,1915,029,,AU411,Q,260512,02900,,0134009170AU411 1915,0,
